Electoral division,State,Area
Grayndler,NSW,32
Wentworth,NSW,38
Barton,NSW,40
Higgins,Vic.,40
Melbourne Ports,Vic.,40
Sydney,NSW,44
Melbourne,Vic.,46
Watson,NSW,47
Goldstein,Vic.,50
Kooyong,Vic.,52
Banks,NSW,53
North Sydney,NSW,53
Reid,NSW,55
Parramatta,NSW,57
Wills,Vic.,57
Brisbane,Qld,58
Bennelong,NSW,60
Griffith,Qld,60
Blaxland,NSW,61
Chisholm,Vic.,65
Batman,Vic.,66
Warringah,NSW,68
Fowler,NSW,69
Deakin,Vic.,70
Bruce,Vic.,73
Maribyrnong,Vic.,73
Stirling,WA,74
Hotham,Vic.,75
Adelaide,SA,76
Hindmarsh,SA,78
Perth,WA,80
Greenway,NSW,81
Tangney,WA,83
Sturt,SA,85
Moore,WA,90
Kingsford Smith,NSW,91
Moncrieff,Qld,92
Cook,NSW,94
Curtin,WA,98
Aston,Vic.,99
Bradfield,NSW,101
Mitchell,NSW,101
Gellibrand,Vic.,102
Moreton,Qld,111
Menzies,Vic.,125
Chifley,NSW,126
Jagajaga,Vic.,128
Boothby,SA,130
Makin,SA,130
Rankin,Qld,131
Holt,Vic.,131
Swan,WA,134
Dunkley,Vic.,140
Lilley,Qld,147
Petrie,Qld,152
Oxley,Qld,155
Isaacs,Vic.,166
McMahon,NSW,168
Scullin,Vic.,169
Newcastle,NSW,171
Kingston,SA,171
Werriwa,NSW,172
Burt,WA,172
Calwell,Vic.,175
Cowan,WA,180
Port Adelaide,SA,181
Fremantle,WA,196
McPherson,Qld,230
Mackellar,NSW,233
Shortland,NSW,265
Denison,Tas.,289
Solomon,NT,337
Lindsay,NSW,339
Bonner,Qld,360
Macarthur,NSW,363
Hughes,NSW,369
Brand,WA,377
Fadden,Qld,395
Forde,Qld,419
Ryan,Qld,441
Fenner,ACT,459
Cunningham,NSW,519
Bowman,Qld,537
Lalor,Vic.,546
Gorton,Vic.,562
La Trobe,Vic.,562
Dickson,Qld,772
Berowra,NSW,786
Dobell,NSW,787
Herbert,Qld,946
Robertson,NSW,980
Corio,Vic.,989
Fairfax,Qld,1 036
Paterson,NSW,1 123
Fisher,Qld,1 170
Hasluck,WA,1 192
Longman,Qld,1 239
Whitlam,NSW,1 331
Flinders,Vic.,1 952
Canberra,ACT,2 002
Richmond,NSW,2 148
Casey,Vic.,2 337
Hinkler,Qld,3 504
Macquarie,NSW,4 374
McEwen,Vic.,4 592
Ballarat,Vic.,4 652
Groom,Qld,5 594
Bendigo,Vic.,6 255
Canning,WA,6 304
Gilmore,NSW,6 342
Wakefield,SA,6 407
Blair,Qld,6 409
Franklin,Tas.,6 514
Cowper,NSW,7 296
Bass,Tas.,7 378
Wright,Qld,7 589
Corangamite,Vic.,7 624
McMillan,Vic.,8 358
Mayo,SA,9 315
Hunter,NSW,10 640
Forrest,WA,11 072
Pearce,WA,13 250
Wide Bay,Qld,14 573
Dawson,Qld,14 945
Lyne,NSW,16 099
Hume,NSW,17 240
Page,NSW,19 342
Murray,Vic.,19 500
Braddon,Tas.,20 826
Indi,Vic.,28 567
Wannon,Vic.,32 047
Calare,NSW,32 666
Lyons,Tas.,32 910
Gippsland,Vic.,33 054
Eden-Monaro,NSW,41 617
Riverina,NSW,48 988
Barker,SA,63 886
New England,NSW,68 394
Mallee,Vic.,73 879
Capricornia,Qld,91 049
Farrer,NSW,126 590
Flynn,Qld,133 063
Leichhardt,Qld,148 988
Parkes,NSW,393 413
Kennedy,Qld,568 993
Maranoa,Qld,731 297
O'Connor,WA,868 576
Grey,SA,904 881
Lingiari,NT,1 352 371
Durack,WA,1 629 858
