ced2016	ced_name2016	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012r	2013r	2014r	2015p
ACT1	Canberra	182512	182901	182835	182392	183194	184122	185930	187070	188802	189940	189890	190678	191271	191301	191764
ACT2	Fenner	139568	142190	144963	146976	148618	151434	157084	161668	166350	172201	178484	184902	190048	194450	199353
NSW1	Banks	138496	138557	138502	138872	139664	140455	142636	145115	147509	149465	151226	153192	155203	157472	158760
NSW10	Cowper	141668	143508	145124	146798	147994	148719	150373	152284	153881	155846	157138	157995	159059	160469	161551
NSW11	Cunningham	144250	145279	145540	145512	145638	145685	147128	149371	151407	153479	154957	156009	157709	158614	160151
NSW12	Dobell	131919	133759	135151	135946	136891	137903	140032	143362	145986	148134	149741	151257	152645	154347	155305
NSW13	Eden-Monaro	128763	131033	133331	134569	135980	137756	139400	141062	142953	145101	146237	147448	148229	149362	149891
NSW14	Farrer	161152	161085	160579	160099	160171	160701	161026	161277	161875	162240	162249	162955	163605	165197	166399
NSW15	Fowler	152786	152258	151576	150588	150685	150680	152374	155427	157965	159341	160436	162521	164852	166701	168249
NSW16	Gilmore	132467	134282	135673	136387	137487	137988	139476	140717	142578	144505	146157	147092	148060	149935	151568
NSW17	Grayndler	136100	135942	136011	136110	136494	137297	140064	142574	144689	146571	148118	149356	151016	152616	154123
NSW18	Greenway	117724	121311	123830	126445	129032	132212	136730	141328	145553	150510	154345	158190	163035	167367	171191
NSW19	Hughes	139405	139507	139013	138267	137551	137314	138586	140782	142705	143268	143505	143784	144592	145829	146828
NSW2	Barton	145114	145549	146609	147253	148413	150016	152668	156050	159007	160845	161929	164265	166446	168501	170815
NSW20	Hume	120844	122663	123982	124614	125538	126310	128057	130638	133605	136117	138584	141345	144557	147666	151493
NSW21	Hunter	139457	140816	141730	142348	143009	143564	145186	147254	149141	151152	153060	155034	157153	159137	161216
NSW22	Kingsford Smith	150911	151174	151185	150854	151349	152402	155393	158996	162663	165461	167637	170119	173602	176322	180244
