LGA_CODE15,LGA_NAME15,STE_CODE11,STE_NAME11,AREA_SQKM
10050,Albury (C),1,New South Wales,305.930799999999977
10110,Armidale Dumaresq (A),1,New South Wales,4230.834899999999834
10150,Ashfield (A),1,New South Wales,8.281200000000000
10200,Auburn (C),1,New South Wales,32.476900000000001
10250,Ballina (A),1,New South Wales,484.716400000000021
10300,Balranald (A),1,New South Wales,21693.124500000001717
10350,Bankstown (C),1,New South Wales,76.800100000000000
10470,Bathurst Regional (A),1,New South Wales,3816.431999999999789
10550,Bega Valley (A),1,New South Wales,6278.955500000000029
10600,Bellingen (A),1,New South Wales,1600.376199999999926
10650,Berrigan (A),1,New South Wales,2065.927000000000135
10750,Blacktown (C),1,New South Wales,240.104999999999990
10800,Bland (A),1,New South Wales,8557.708199999999124
10850,Blayney (A),1,New South Wales,1524.882599999999911
10900,Blue Mountains (C),1,New South Wales,1431.145199999999932
10950,Bogan (A),1,New South Wales,14600.483399999999165
11000,Bombala (A),1,New South Wales,3946.570700000000215
11050,Boorowa (A),1,New South Wales,2577.974700000000212
11100,Botany Bay (C),1,New South Wales,21.686800000000002
11150,Bourke (A),1,New South Wales,41604.452700000001641
11200,Brewarrina (A),1,New South Wales,19165.181599999999889
11250,Broken Hill (C),1,New South Wales,170.294499999999999
11300,Burwood (A),1,New South Wales,7.128200000000000
11350,Byron (A),1,New South Wales,565.846999999999980
11400,Cabonne (A),1,New South Wales,6023.929000000000087
11450,Camden (A),1,New South Wales,201.263299999999987
11500,Campbelltown (C),1,New South Wales,312.139799999999980
11520,Canada Bay (A),1,New South Wales,19.893400000000000
11550,Canterbury (C),1,New South Wales,33.563899999999997
11600,Carrathool (A),1,New South Wales,18932.501199999998789
11700,Central Darling (A),1,New South Wales,53493.806100000001607
11720,Cessnock (C),1,New South Wales,1965.406700000000001
11730,Clarence Valley (A),1,New South Wales,10428.773400000000038
11750,Cobar (A),1,New South Wales,45571.014100000000326
11800,Coffs Harbour (C),1,New South Wales,1173.738100000000031
11860,Conargo (A),1,New South Wales,8737.940699999999197
12000,Coolamon (A),1,New South Wales,2430.928699999999935
12050,Cooma-Monaro (A),1,New South Wales,5184.543300000000272
12150,Coonamble (A),1,New South Wales,9915.850800000000163
12200,Cootamundra (A),1,New South Wales,1523.752500000000055
12300,Corowa Shire (A),1,New South Wales,2329.251999999999953
12350,Cowra (A),1,New South Wales,2808.673299999999927
12500,Deniliquin (A),1,New South Wales,143.187600000000003
12600,Dubbo (C),1,New South Wales,3425.680800000000090
12700,Dungog (A),1,New South Wales,2250.017299999999977
12750,Eurobodalla (A),1,New South Wales,3428.170900000000074
12850,Fairfield (C),1,New South Wales,101.521900000000002
12900,Forbes (A),1,New South Wales,4718.074300000000221
12950,Gilgandra (A),1,New South Wales,4832.008300000000418
13010,Glen Innes Severn (A),1,New South Wales,5480.358500000000276
13050,Gloucester (A),1,New South Wales,2950.167899999999918
13100,Gosford (C),1,New South Wales,941.059099999999944
13310,Goulburn Mulwaree (A),1,New South Wales,3220.007900000000063
13320,Great Lakes (A),1,New South Wales,3373.327900000000227
13340,Greater Hume Shire (A),1,New South Wales,5749.283699999999953
13380,Greater Taree (C),1,New South Wales,3729.048299999999927
13450,Griffith (C),1,New South Wales,1639.941399999999931
13500,Gundagai (A),1,New South Wales,2457.136800000000221
13550,Gunnedah (A),1,New South Wales,4987.409099999999853
13650,Guyra (A),1,New South Wales,4389.547999999999774
13660,Gwydir (A),1,New South Wales,9262.361800000000585
13700,Harden (A),1,New South Wales,1868.245699999999943
13800,Hawkesbury (C),1,New South Wales,2774.640899999999874
13850,Hay (A),1,New South Wales,11326.016499999999724
13950,Holroyd (C),1,New South Wales,40.181399999999996
14000,Hornsby (A),1,New South Wales,462.107399999999984
14100,Hunters Hill (A),1,New South Wales,5.717100000000000
14150,Hurstville (C),1,New South Wales,22.724100000000000
14200,Inverell (A),1,New South Wales,8594.940199999999095
14250,Jerilderie (A),1,New South Wales,3373.054200000000037
14300,Junee (A),1,New South Wales,2029.997499999999945
14350,Kempsey (A),1,New South Wales,3375.670000000000073
14400,Kiama (A),1,New South Wales,257.742700000000013
14450,Kogarah (C),1,New South Wales,15.547900000000000
14500,Ku-ring-gai (A),1,New South Wales,85.397599999999997
14550,Kyogle (A),1,New South Wales,3584.019299999999930
14600,Lachlan (A),1,New South Wales,14965.409299999999348
14650,Lake Macquarie (C),1,New South Wales,647.986800000000017
14700,Lane Cove (A),1,New South Wales,10.479500000000000
14750,Leeton (A),1,New South Wales,1166.947300000000041
14800,Leichhardt (A),1,New South Wales,10.549799999999999
14850,Lismore (C),1,New South Wales,1287.791600000000017
14870,Lithgow (C),1,New South Wales,4511.846800000000258
14900,Liverpool (C),1,New South Wales,305.431100000000015
14920,Liverpool Plains (A),1,New South Wales,5082.314000000000306
14950,Lockhart (A),1,New South Wales,2895.851700000000164
15050,Maitland (C),1,New South Wales,391.516999999999996
15150,Manly (A),1,New South Wales,14.355200000000000
15200,Marrickville (A),1,New South Wales,16.519600000000001
15270,Mid-Western Regional (A),1,New South Wales,8752.785299999999552
15300,Moree Plains (A),1,New South Wales,17905.950199999999313
15350,Mosman (A),1,New South Wales,8.651000000000000
15500,Murray (A),1,New South Wales,4344.453000000000429
15550,Murrumbidgee (A),1,New South Wales,3506.684699999999793
15650,Muswellbrook (A),1,New South Wales,3404.994299999999839
15700,Nambucca (A),1,New South Wales,1491.349300000000085
15750,Narrabri (A),1,New South Wales,13014.071799999999712
15800,Narrandera (A),1,New South Wales,4116.235899999999674
15850,Narromine (A),1,New South Wales,5260.387399999999616
15900,Newcastle (C),1,New South Wales,186.772500000000008
15950,North Sydney (A),1,New South Wales,10.472600000000000
16100,Oberon (A),1,New South Wales,3626.883100000000013
16150,Orange (C),1,New South Wales,283.937799999999982
16180,Palerang (A),1,New South Wales,5146.792400000000271
16200,Parkes (A),1,New South Wales,5954.919399999999769
16250,Parramatta (C),1,New South Wales,61.356499999999997
16350,Penrith (C),1,New South Wales,404.631399999999985
16370,Pittwater (A),1,New South Wales,90.328400000000002
16380,Port Macquarie-Hastings (A),1,New South Wales,3683.015300000000025
16400,Port Stephens (A),1,New South Wales,858.473200000000020
16470,Queanbeyan (C),1,New South Wales,172.361300000000000
16550,Randwick (C),1,New South Wales,36.330700000000000
16610,Richmond Valley (A),1,New South Wales,3047.387400000000071
16650,Rockdale (C),1,New South Wales,28.219300000000000
16700,Ryde (C),1,New South Wales,40.472900000000003
16900,Shellharbour (C),1,New South Wales,147.360199999999992
16950,Shoalhaven (C),1,New South Wales,4567.022600000000239
17000,Singleton (A),1,New South Wales,4892.830100000000130
17050,Snowy River (A),1,New South Wales,6030.379600000000210
17100,Strathfield (A),1,New South Wales,13.899600000000000
17150,Sutherland Shire (A),1,New South Wales,333.578899999999976
17200,Sydney (C),1,New South Wales,26.725600000000000
17310,Tamworth Regional (A),1,New South Wales,9884.217099999999846
17350,Temora (A),1,New South Wales,2802.015600000000177
17400,Tenterfield (A),1,New South Wales,7322.274500000000444
17420,The Hills Shire (A),1,New South Wales,400.450100000000020
17450,Tumbarumba (A),1,New South Wales,4392.457500000000437
17500,Tumut Shire (A),1,New South Wales,4566.627800000000207
17550,Tweed (A),1,New South Wales,1307.442299999999932
17620,Upper Hunter Shire (A),1,New South Wales,8096.061300000000301
17640,Upper Lachlan Shire (A),1,New South Wales,7127.461500000000342
17650,Uralla (A),1,New South Wales,3226.464500000000044
17700,Urana (A),1,New South Wales,3356.001400000000103
17750,Wagga Wagga (C),1,New South Wales,4825.873199999999997
17800,Wakool (A),1,New South Wales,7520.471899999999550
17850,Walcha (A),1,New South Wales,6261.292199999999866
17900,Walgett (A),1,New South Wales,22308.457800000000134
17950,Warren (A),1,New South Wales,10753.819400000000314
18000,Warringah (A),1,New South Wales,149.353199999999987
18020,Warrumbungle Shire (A),1,New South Wales,12371.081299999999828
18050,Waverley (A),1,New South Wales,9.243000000000000
18100,Weddin (A),1,New South Wales,3408.550799999999981
18150,Wellington (A),1,New South Wales,4110.088499999999840
18200,Wentworth (A),1,New South Wales,26256.730299999999261
18250,Willoughby (C),1,New South Wales,22.429300000000001
18350,Wingecarribee (A),1,New South Wales,2688.392800000000079
18400,Wollondilly (A),1,New South Wales,2555.926899999999932
18450,Wollongong (C),1,New South Wales,684.013000000000034
18500,Woollahra (A),1,New South Wales,12.273999999999999
18550,Wyong (A),1,New South Wales,739.797500000000014
18710,Yass Valley (A),1,New South Wales,3998.052900000000136
18750,Young (A),1,New South Wales,2692.680800000000090
19399,Unincorporated NSW,1,New South Wales,93213.456099999995786
19499,No usual address (NSW),1,New South Wales,0.000000000000000
20110,Alpine (S),2,Victoria,4788.234599999999773
20260,Ararat (RC),2,Victoria,4211.357100000000173
20570,Ballarat (C),2,Victoria,739.029199999999946
20660,Banyule (C),2,Victoria,62.542099999999998
20740,Bass Coast (S),2,Victoria,864.760599999999954
20830,Baw Baw (S),2,Victoria,4031.275399999999991
20910,Bayside (C),2,Victoria,37.210900000000002
21010,Benalla (RC),2,Victoria,2352.640100000000075
21110,Boroondara (C),2,Victoria,60.180900000000001
21180,Brimbank (C),2,Victoria,123.399100000000004
21270,Buloke (S),2,Victoria,8000.402699999999641
21370,Campaspe (S),2,Victoria,4518.856399999999667
21450,Cardinia (S),2,Victoria,1281.678400000000011
21610,Casey (C),2,Victoria,409.417500000000018
21670,Central Goldfields (S),2,Victoria,1532.784799999999905
21750,Colac-Otway (S),2,Victoria,3437.481200000000172
21830,Corangamite (S),2,Victoria,4407.554799999999886
21890,Darebin (C),2,Victoria,53.471100000000000
22110,East Gippsland (S),2,Victoria,20939.896199999999226
22170,Frankston (C),2,Victoria,129.598600000000005
22250,Gannawarra (S),2,Victoria,3735.335099999999784
22310,Glen Eira (C),2,Victoria,38.691400000000002
22410,Glenelg (S),2,Victoria,6218.288700000000063
22490,Golden Plains (S),2,Victoria,2703.429500000000189
22620,Greater Bendigo (C),2,Victoria,2999.978099999999813
22670,Greater Dandenong (C),2,Victoria,129.595599999999990
22750,Greater Geelong (C),2,Victoria,1247.891599999999926
22830,Greater Shepparton (C),2,Victoria,2421.952600000000075
22910,Hepburn (S),2,Victoria,1472.983699999999999
22980,Hindmarsh (S),2,Victoria,7524.182300000000396
23110,Hobsons Bay (C),2,Victoria,64.240799999999993
23190,Horsham (RC),2,Victoria,4267.062100000000100
23270,Hume (C),2,Victoria,503.829299999999989
