,0,1,2,3,4
0,Albury City Council,COUNCIL,305.9,50243,9
1,Armidale Regional Council,COUNCIL,4235.1,25343,10
2,Australian Local Government Association,LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
3,"Australian Local Government Women's Association, NSW Branch Inc",LOCAL GOVERNMENT AND SHIRES ASSOCIATIONS,,,
4,Ballina Shire Council,COUNCIL,8.3,44175,12
5,Balranald Shire Council,COUNCIL,32.5,83367,10
6,Bathurst Regional Council,COUNCIL,485.4,41335,10
7,Bega Valley Shire Council,COUNCIL,21699.5,2371,8
8,Bellingen Shire Council,COUNCIL,76.8,196974,12
9,Berrigan Shire Council,COUNCIL,3818,41051,8
10,Blacktown City Council,COUNCIL,6276.9,33313,9
11,Bland Shire Council,COUNCIL,1602.1,12854,7
12,Blayney Shire Council,COUNCIL,2065.7,8365,8
13,Blue Mountains City Council,COUNCIL,240.1,325185,15
14,Bogan Shire Council,COUNCIL,8560.4,6010,9
15,Border Regional Organisation of Councils (BROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
16,"Botany Bay, The Council of the City of",COUNCIL,1525.5,7330,7
17,Bourke Shire Council,COUNCIL,1431.7,79225,12
18,Brewarrina Shire Council,COUNCIL,14612.3,3037,9
19,Broken Hill City Council,COUNCIL,3945.2,2401,7
20,Burwood Council,COUNCIL,2578.6,2558,9
21,Byron Shire Council,COUNCIL,21.7,43292,7
22,Cabonne Council,COUNCIL,41652.1,2996,10
23,Camden Council,COUNCIL,19188.2,1940,9
24,Campbelltown City Council,COUNCIL,178.3,19048,10
25,"Canada Bay Council, City of",COUNCIL,7.1,35298,7
26,Canterbury-Bankstown Council ,COUNCIL,566.6,31612,9
27,Carrathool Shire Council,COUNCIL,6026.8,13695,12
28,Castlereagh-Macquarie County Council,COUNTY COUNCIL,,,
29,Central Coast Council,COUNCIL,201.3,63248,9
30,Central Coast Regional Organisation of Councils (CCROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
31,Central Darling Shire Council,COUNCIL,312.3,154538,15
32,Central Murray County Council,COUNTY COUNCIL,,,
33,Central NSW Councils (CENTROC),REGIONAL ORGANISATIONS OF COUNCILS,,,
34,Central Tablelands County Council,COUNTY COUNCIL,,,
35,Cessnock City Council,COUNCIL,19.9,84906,9
36,Clarence Valley Council,COUNCIL,33.6,148853,10
37,Cobar Shire Council,COUNCIL,18939.5,2792,10
38,Coffs Harbour City Council,COUNCIL,53533.8,2070,9
39,Coolamon Shire Council,COUNCIL,1966.4,54313,13
40,Coonamble Shire Council,COUNCIL,10441.2,51043,9
41,Cowra Shire Council,COUNCIL,45604.8,5024,12
42,Cumberland Council,COUNCIL,1175.1,71798,9
43,Dungog Shire Council,COUNCIL,8738.2,1543,8
44,Edward River Council,COUNCIL,2431.3,4276,9
45,Eurobodalla Shire Council,COUNCIL,5183.8,10073,9
46,Fairfield City Council,COUNCIL,9925.3,4279,7
47,Federation Council,COUNCIL,1524,7625,9
48,Forbes Shire Council,COUNCIL,2329,11410,9
49,Georges River Council,COUNCIL,2809.6,12551,9
50,Gilgandra Shire Council,COUNCIL,143.2,7376,7
51,Glen Innes Severn Shire Council,COUNCIL,3428,40975,11
52,Goldenfields Water County Council,COUNTY COUNCIL,,,
53,Goulburn Mulwaree Council,COUNCIL,2251.5,8884,9
54,Greater Hume Shire Council,COUNCIL,3427.7,37234,9
55,Griffith City Council,COUNCIL,4720,9664,9
56,Gundagai Council,COUNCIL,4835.8,4488,9
57,Gunnedah Shire Council,COUNCIL,5486.9,8905,7
58,Gwydir Shire Council,COUNCIL,2952.3,4974,7
59,Hawkesbury City Council,COUNCIL,940.3,170752,10
60,Hawkesbury River County Council,COUNTY COUNCIL,,,
61,Hay Shire Council,COUNCIL,3220.3,29230,9
62,"Hills Shire Council, The",COUNCIL,3375.5,36312,9
63,Hilltops Council,COUNCIL,5748.7,10176,9
64,"Hornsby, The Council of the Shire of",COUNCIL,3731.9,48846,9
65,Hunter Councils Group,REGIONAL ORGANISATIONS OF COUNCILS,,,
66,"Hunters Hill, The Council of the Municipality of",COUNCIL,1640.3,25425,12
67,Inner West Council,COUNCIL,2457.3,3747,8
68,Inverell Shire Council,COUNCIL,4992,12688,9
69,Junee Shire Council,COUNCIL,4394.4,4645,6
70,Kempsey Shire Council,COUNCIL,9273.6,5104,9
71,The Council Of The Municipality Of Kiama,COUNCIL,1868.5,3762,7
72,Ku-ring-gai Council,COUNCIL,2775.8,65114,12
73,Kyogle Council,COUNCIL,11328.5,2962,8
74,Lachlan Shire Council,COUNCIL,400.6,180214,12
75,Lake Macquarie City Council,COUNCIL,40.2,108889,12
76,Lane Cove Municipal Council,COUNCIL,462.3,166855,10
77,Leeton Shire Council,COUNCIL,5.7,14491,7
78,Lismore City Council,COUNCIL,22.7,84859,12
79,Lithgow City Council,COUNCIL,8605.8,16727,9
80,Liverpool City Council,COUNCIL,3373.1,1504,7
