Council,First,Last
Break O'Day,Janet,Drummond
Break O'Day,John ,Tucker
Break O'Day,Barry ,LeFevre
Break O'Day,Mick,Tucker
Break O'Day,John ,McGiveron
Break O'Day,Glenn,McGuinness
Break O'Day,Margaret,Osborne
Break O'Day,Hannah,Rubenach - Quinn
Break O'Day,Kylie,Wright
,,
Brighton,Barbara,Curren
Brighton,Tony,Foster
Brighton,Wayne,Garlick
Brighton,Peter,Geard
Brighton,Leigh ,Gray
Brighton,Moya ,Jeffries
Brighton,Philip ,Owen
Brighton,Geoff,Taylor
Brighton,Sonya ,Williams
,,
Burnie,Alvwyn,Boyd
Burnie,Anita,Dow
Burnie,Sandra,French
Burnie,Chris,Lynch
Burnie,Steven,Kons
Burnie,Teeny,Brumby
Burnie,Robert,Bentley
Burnie,Ken,Dorsey
Burnie,Ron,Blake OAM
,,
Central Coast,Jan,Bonde
Central Coast,Garry,Carpenter
Central Coast,Kath,Downie
Central Coast,Shane,Broad
Central Coast,Gerry ,Howard
Central Coast,Philip ,Viney
Central Coast,John ,Bloomfield
Central Coast,Rowen,Tongs
Central Coast,Tony,van Rooyen
,,
Central Highlands,Tony,Bailey
Central Highlands,Richard,Bowden
Central Highlands,Andrew,Downie
Central Highlands,MISSING,MISSING
Central Highlands,Erika,McRae
Central Highlands,Jim,Allwright
Central Highlands,Lana,Walker-Benson
Central Highlands,Robert,Cassidy
Central Highlands,Loueen,Triffitt
,,
Circular Head,Jan,Bishop
Circular Head,Ashley ,Poposwki
Circular Head,David,Woodward
Circular Head,Nakore,Popowski
Circular Head,John ,Oldaker
Circular Head,Daryl,Quilliam
Circular Head,Trevor,Spinks
Circular Head,Betty,Kay
Circular Head,Norman,Berechree
,,
City of Clarence,Jock,Campbell
City of Clarence,Doug,Chipman
City of Clarence,Heather,Chong
City of Clarence,Peter,Cusick
City of Clarence,Debra,Thurley
City of Clarence,Richard,James
City of Clarence,Kay,McFarlane
City of Clarence,Daniel,Hulme
City of Clarence,James,Walker
City of Clarence,John ,Peers
City of Clarence,Doug,Doust
City of Clarence,Sharyn,von Bertouch
,,
Derwent Valley,Damien,Bester
Derwent Valley,Ben ,Shaw
Derwent Valley,Martyn,Evans
Derwent Valley,Frank,Pearce
Derwent Valley,Barry,Lathey
Derwent Valley,Paul,Belcher
Derwent Valley,James,Graham
Derwent Valley,Julie ,Triffett
,,
Devonport,Annette,Rockliff
Devonport,Charlie,Emmerton
Devonport,Grant,Goodwin
Devonport,Alison,Jarman
Devonport,Tammy,Milne
Devonport,Leon,Perry
Devonport,Lynn,Laycock
Devonport,Steve,Martin
Devonport,Jeff,Matthews
,,
Dorset,Steven,Arnold
Dorset,Lawrence,Archer
Dorset,Leonie,Stein
Dorset,Sheryl,Martin
Dorset,Maxwell,Hall
Dorset,Greg,Howard
Dorset,Dale,Jessup
Dorset,Shaun,Moore
Dorset,Leon,Quilliam
,,
Flinders Island,Marc,Cobham
Flinders Island,Carol,Cox
Flinders Island,Peter,Rhodes
Flinders Island,chris,Rhodes
Flinders Island,Gerald,Willis
Flinders Island,David,Williams
Flinders Island,Ken,Stockton
,,
George Town,Bridget,Archer
George Town,Heather,Barwick
George Town,Doug,Burt
George Town,Greg,Dawson
George Town,John,Glisson
George Town,Tim,Harris
George Town,Christopher,Ashley
George Town,Tim,Parish
George Town,Peter,Parkes
,,
Glamorgan Spring Bay,Cheryl ,Arnol
Glamorgan Spring Bay,Bertrand,Cadart
Glamorgan Spring Bay,Jenifer,Crawford
Glamorgan Spring Bay,Michael,Kent
Glamorgan Spring Bay,Richard,Parker
Glamorgan Spring Bay,Britt,Steiner
Glamorgan Spring Bay,Debbie,Wisby
Glamorgan Spring Bay,Jenny,Woods
,,
Glenorchy City Council,Stuart,Slade
Glenorchy City Council,Haydyn,Nielsen
Glenorchy City Council,Jenny,Branch-Allen
Glenorchy City Council,Steven,King
Glenorchy City Council,Harry,Quick
Glenorchy City Council,Christine,Lucas
Glenorchy City Council,jan,Dunsby
Glenorchy City Council,David,Pearce
Glenorchy City Council,Matt,Stevenson
Glenorchy City Council,Kristie,Johnston
,,
City of Hobart,Sue,Hickey
City of Hobart,Ron,Christie
City of Hobart,Marti,Zucco
City of Hobart,Jeff,Briscoe
City of Hobart,Eva,Ruzicka
City of Hobart,Helen,Burnet
City of Hobart,Peter,Sexton
City of Hobart,Philip,Cocker
City of Hobart,Damon,Thomas
City of Hobart,Bill,Harvey
City of Hobart,Anna,Reynolds
City of Hobart,Tanya,Denison
,,
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
Huon Valley,In administation,In administation
,,
Kentish,Terry,Hughes
Kentish,Rodney,Blenkhorn
Kentish,Linda,Cassidy
Kentish,Penny,Lane
Kentish,Phillip,Richards
Kentish,Don,Thwaites
Kentish,Annie,Willock
Kentish,Tim,Wilson
Kentish,Kate,Haberle
,,
King Island,Jim,Benn
King Island,David,Bowling
King Island,Jim,Cooper
King Island,Douglas,Collins
King Island,Royce,Conley
King Island,Duncan,McFie
King Island,David,Munday
King Island,Kirsty,Russell
King Island,Sally,Haneveer
,,
Kingborough,Paula,Wreidt
Kingborough,Richard,Atkinson
Kingborough,Michael,Percey
Kingborough,Flora,Fox
Kingborough,David,Grace
Kingborough,Graham,Bury
Kingborough,Dean,Winter
Kingborough,Paul,Chatterton
Kingborough,Sue,Bastone
Kingborough,Steve,Wass
,,
Latrobe,Graeme,Brown
Latrobe,Dayna,Dennison
Latrobe,Gerrad,Wicks
Latrobe,Mike,McLaren
Latrobe,John,Perkins
Latrobe,Rick,Rockliff
Latrobe,Garry,Sims
Latrobe,Peter,Freshney
Latrobe,Lesley,Young
,,
City of Launceston,Hugh,McKenzie
City of Launceston,Darren,Alexander
City of Launceston,Karina,Stojanesek
City of Launceston,Jim,Cox
City of Launceston,Robin,McKendrick
City of Launceston,Emma,Willliams
City of Launceston,Danny,Gibson
City of Launceston,Janie,Finlay
City of Launceston,Ted,Sands
City of Launceston,Rob,Soward
City of Launceston,Albert,van Zetten
City of Launceston,Simon,Wood
,,
Meander Valley,Michael,Kelly
Meander Valley,Tanya,King
Meander Valley,Bob,Richardson
Meander Valley,Craig,Perkins
Meander Valley,Deb,White
Meander Valley,Ian,Mackenzie
Meander Valley,Rodney,Synfield
Meander Valley,John,Temple
Meander Valley,Andrew,Connor
,,
Northern Midlands,Dick,Adams
Northern Midlands,Andrew,Calvert
Northern Midlands,David,Downie
Northern Midlands,Leisa,Gordon
Northern Midlands,Janet,Lambert
Northern Midlands,Ian,Goninon
Northern Midlands,Richard,Goss
Northern Midlands,Mary,Knowles
Northern Midlands,Michael,Polley
,,
Sorell,Carmel,Torenius
Sorell,Kerry,Degrassi
Sorell,Deborah,DeWilliams
Sorell,Graeme,Evans
Sorell,Brett,McDonald
Sorell,Natham,Reynolds
Sorell,Kerry,Vincent
Sorell,Vlad,Gala
Sorell,Lindsay,White
,,
Southern Midlands,Anthony,Bisdee
Southern Midlands,David,Marshall
Southern Midlands,Edwin,Batt
Southern Midlands,Bob,Campbell
Southern Midlands,Donald,Fish
Southern Midlands,Tony,Bantick
Southern Midlands,Alex,Green
,,
Tasman,Glenn,Skeggs
Tasman,Kelly,Spaulding
Tasman,Pam,Fenerty
Tasman,Roseannne,Heyward
Tasman,Dave,Moser
Tasman,Alan,Hull
Tasman,Maria,Stacey
,,
Waratah-Wynyard,Gary,Bramich
Waratah-Wynyard,Kevin,Hyland
Waratah-Wynyard,Mary,Duniam
Waratah-Wynyard,Darren,Fairbrother
Waratah-Wynyard,Alwyn,Friedersdorff
Waratah-Wynyard,Maureen,Bradley
Waratah-Wynyard,Stephen,Wright
Waratah-Wynyard,Robby,Walsh
,,
West Coast,Leigh,Styles
West Coast,Scott,Stringer
West Coast,Lindsay,Newman
West Coast,Al,Medwin
West Coast,Lyn,O'Grady
West Coast,Phil,Vickers
West Coast,Shane,Pitt
West Coast,Terry,Shea
West Coast,Robyn,Gerrity
,,
West Tamar,Joy,Allen
West Tamar,Geoff,Lyons
West Tamar,Christina,Holmdahl
West Tamar,Peter,Kearney
West Tamar,Tim,Woinarski
West Tamar,Rick,Shegog
West Tamar,Lynden,Ferguson
West Tamar,Carol,Bracken
West Tamar,Richard,Ireland
,,
,,
,,
,,
,,
,,
,,
,,
,,
