council,councillors
Alpine Shire Council,7
Ararat Rural City Council,7
Ballarat City Council,9
Banyule City Council,7
Bass Coast Shire Council,9
Baw Baw Shire Council,9
Bayside City Council,7
Benalla Rural City Council,7
Boroondara City Council,10
Borough of Queenscliffe,5
Brimbank City Council,11
Buloke Shire Council,7
Campaspe Shire Council,9
Cardinia Shire Council,9
Casey City Council,11
Central Goldfields Shire Council,7
Colac Otway Shire Council,7
Corangamite Shire Council,7
Darebin City Council,9
East Gippsland Shire Council,9
Frankston City Council,9
Gannawarra Shire Council,7
Glen Eira City Council,9
Glenelg Shire Council,7
Golden Plans Shire Council,7
Greater Bendigo City Council,9
Greater Dandenong City Council,11
Greater Shepparton City Council,9
Hepburn Shire Council,7
Hindmarsh Shire Council,6
Hobsons Bay City Council,7
Horsham Rural City Council,7
Hume City Council,11
Indigo Shire Council,7
Kingston City Council,9
Knox City Council,9
Latrobe City Council,9
Loddon Shire Council,5
Macedon Ranges Shire Council,9
Manningham City Council,9
Mansfield Shire Council,5
Maribyrnong City Council,7
Maroondah City Council,9
Melbourne City Council,11
Melton City Council,9
Mildura Rural City Council,9
Mitchell Shire Council,9
Moira Shire Council,9
Monash City Council,11
Moonee Valley City Council,9
Moorabool Shire Council,7
Moreland City Council,11
Mornington Peninsula Shire Council,11
Mount Alexander Shire Council,7
Moyne Shire Council,7
Murrindindi Shire Council,7
Nillumbik Shire Council,7
Northern Grampians Shire Council,7
Port Phillip City Council,9
Pyrenees Shire Council,5
Rural City of Wangaratta,7
South Gippsland Shire Council,9
Southern Grampians Shire Council,7
Stonnington City Council,9
Strathbogie Shire Council,7
Surf Coast Shire Council,9
Swan Hill Rural City,7
Towong Shire Council,5
Warnambool City Council,7
Wellington Shire Council,9
West Wimmera Shire Council,5
Whitehorse City Council,10
Whittlesea City Council,11
Wodonga City Council,7
Wyndham City Council,11
Yarra City Council,9
Yarra Ranges Shire Council,9
Yarriambiack Shire Council,7
Greater Geelong City Council,13
