,"ï»¿""MEASURE""",Measure,REGIONTYPE,Geography Level,LGA_2015,Region,Councillors (non mayor),FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
233,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30250,Aurukun (S),4,A,Annual,2015,2015,1424,,
234,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30300,Balonne (S),6,A,Annual,2015,2015,4826,,
235,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30370,Banana (S),6,A,Annual,2015,2015,15209,,
236,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30410,Barcaldine (R),6,A,Annual,2015,2015,3342,,
237,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30450,Barcoo (S),4,A,Annual,2015,2015,357,,
238,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30760,Blackall-Tambo (R),6,A,Annual,2015,2015,2238,,
239,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),30900,Boulia (S),4,A,Annual,2015,2015,490,,
240,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),31000,Brisbane (C),26,A,Annual,2015,2015,1162186,,
241,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),31750,Bulloo (S),4,A,Annual,2015,2015,396,,
242,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),31820,Bundaberg (R),10,A,Annual,2015,2015,94380,,
243,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),31900,Burdekin (S),6,A,Annual,2015,2015,17831,,
244,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),31950,Burke (S),4,A,Annual,2015,2015,562,,
245,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32080,Cairns (R),9,A,Annual,2015,2015,160285,,
246,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32250,Carpentaria (S),6,A,Annual,2015,2015,2262,,
247,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32260,Cassowary Coast (R),6,A,Annual,2015,2015,28689,,
248,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32270,Central Highlands (R),8,A,Annual,2015,2015,31454,,
249,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32310,Charters Towers (R),6,A,Annual,2015,2015,12433,,
250,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32330,Cherbourg (S),4,A,Annual,2015,2015,1291,,
251,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32450,Cloncurry (S),4,A,Annual,2015,2015,3351,,
252,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32500,Cook (S),6,A,Annual,2015,2015,4388,,
253,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32600,Croydon (S),4,A,Annual,2015,2015,326,,
254,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32750,Diamantina (S),4,A,Annual,2015,2015,288,,
255,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32770,Doomadgee (S),4,A,Annual,2015,2015,1399,,
256,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),32810,Douglas (S),4,A,Annual,2015,2015,11661,,
257,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33100,Etheridge (S),4,A,Annual,2015,2015,926,,
258,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33200,Flinders (S),6,A,Annual,2015,2015,1792,,
259,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33220,Fraser Coast (R),10,A,Annual,2015,2015,101977,,
260,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33360,Gladstone (R),8,A,Annual,2015,2015,67464,,
261,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33430,Gold Coast (C),14,A,Annual,2015,2015,555608,,
262,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33610,Goondiwindi (R),6,A,Annual,2015,2015,11022,,
263,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33620,Gympie (R),8,A,Annual,2015,2015,48681,,
264,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33800,Hinchinbrook (S),6,A,Annual,2015,2015,11352,,
265,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33830,Hope Vale (S),4,A,Annual,2015,2015,1125,,
266,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33960,Ipswich (C),10,A,Annual,2015,2015,193015,,
267,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),33980,Isaac (R),8,A,Annual,2015,2015,24267,,
268,ERP,Estimated Resident Population,LGA2015,Local Government Areas (2015),34420,Kowanyama (S),4,A,Annual,2015,2015,1142,,
