Council,Councillors
Adelaide,12
Adelaide Hills Council,13
Alexandrina Council,12
The Barossa Council,12
District Council of Barunga West,9
Berri Barmera Council,9
City of Burnside,13
City of Campbelltown,11
District Council of Ceduna,9
City of Charles Sturt,17
Clare & Gilbert Valleys Council,10
District Council of Cleve,8
District Council of Coober Pedy,9
Coorong District Council,9
District Council of The Copper Coast,11
District Council of Elliston,8
The Flinders Ranges Council,9
District Council of Franklin Harbour,6
Town of Gawler,11
Regional Council of Goyder,7
District Council of Grant,10
City of Holdfast Bay,13
Kangaroo Island Council,10
District Council of Karoonda East Murray,7
District Council of Kimba,7
Kingston District Council,8
Light Regional Council,11
District Council of Lower Eyre Peninsula,7
District Council of Loxton Waikerie,11
District Council of Mallala,10
City of Marion,13
Mid Murray Council,10
City of Mitcham,14
District Council of Mount Barker,11
City of Mount Gambier,11
District Council of Mount Remarkable,7
The Rural City of Murray Bridge,10
Naracoorte Lucindale Council,11
Northern Areas Council,9
"City of Norwood, Payneham and St Peters",14
City of Onkaparinga,21
District Council of Orroroo Carrieton,7
District Council of Peterborough,9
City of Playford,16
City of Port Adelaide Enfield,18
City of Port Augusta,10
City of Port Lincoln,11
Port Pirie Regional Council,10
City of Prospect,9
Renmark Paringa Council,9
District Council of Robe,7
City of Salisbury,17
Southern Mallee District Council,9
District Council of Streaky Bay,8
Tatiara District Council,10
City of Tea Tree Gully,13
District Council of Tumby Bay,7
Corporation of the City of Unley,13
City of Victor Harbor,10
Wakefield Regional Council,10
Corporation of the Town of Walkerville,9
Wattle Range Council,12
City of West Torrens,15
City of Whyalla,10
Wudinna District Council,7
District Council of Yankalilla,9
Yorke Peninsula Council,12
Maralinga Tjarutja,0
Anangu Pitjantjatjara,0
Roxby Downs,0
