SED_CODE16,SED_NAME16,AREASQKM16
10001,Albury,19487.8000000000
10002,Auburn,38.8810000000
10003,Ballina,1048.6400000000
10004,Balmain,13.1600000000
10005,Bankstown,27.3251000000
10006,Barwon,355116.0000000000
10007,Bathurst,15512.8000000000
10008,Baulkham Hills,41.7540000000
10009,Bega,9614.2200000000
10010,Blacktown,34.4746000000
10011,Blue Mountains,984.2530000000
10012,Cabramatta,25.6886000000
10013,Camden,324.1810000000
10014,Campbelltown,254.0130000000
10015,Canterbury,20.8537000000
10016,Castle Hill,96.9062000000
10017,Cessnock,3623.9600000000
10018,Charlestown,56.3787000000
10019,Clarence,13516.7000000000
10020,Coffs Harbour,1152.8300000000
10021,Coogee,12.7077000000
10022,Cootamundra,34037.4000000000
10023,Cronulla,43.0566000000
10024,Davidson,79.9194000000
10025,Drummoyne,18.4338000000
10026,Dubbo,18769.8000000000
10027,East Hills,38.7850000000
10028,Epping,31.4586000000
10029,Fairfield,26.4268000000
10030,Gosford,800.2880000000
10031,Goulburn,19407.6000000000
10032,Granville,22.6420000000
10033,Hawkesbury,2951.6900000000
10034,Heathcote,359.5180000000
10035,Heffron,33.4851000000
10036,Holsworthy,129.8930000000
10037,Hornsby,357.7050000000
10038,Keira,62.9657000000
10039,Kiama,1302.6000000000
10040,Kogarah,17.7181000000
10041,Ku-ring-gai,52.3634000000
10042,Lake Macquarie,493.6100000000
10043,Lakemba,23.5142000000
10044,Lane Cove,30.6751000000
10045,Lismore,12972.3000000000
10046,Liverpool,28.8106000000
10047,Londonderry,183.4200000000
10048,Macquarie Fields,89.6583000000
10049,Maitland,388.5300000000
10050,Manly,24.7936000000
10051,Maroubra,32.9889000000
10052,Miranda,30.7935000000
10053,Monaro,20033.5000000000
10054,Mount Druitt,36.6374000000
10055,Mulgoa,273.1130000000
10056,Murray,107705.0000000000
10057,Myall Lakes,4931.3600000000
10058,Newcastle,94.6485000000
10059,Newtown,10.2470000000
10060,North Shore,15.6636000000
10061,Northern Tablelands,52779.5000000000
10062,Oatley,24.1100000000
10063,Orange,16963.1000000000
10064,Oxley,9734.5500000000
10065,Parramatta,36.0996000000
10066,Penrith,76.0441000000
10067,Pittwater,151.7300000000
10068,Port Macquarie,1453.8900000000
10069,Port Stephens,1071.9800000000
10070,Prospect,71.7465000000
10071,Riverstone,74.6089000000
10072,Rockdale,21.1994000000
10073,Ryde,28.5572000000
10074,Seven Hills,31.6745000000
10075,Shellharbour,133.9310000000
10076,South Coast,3680.1800000000
10077,Strathfield,22.4762000000
10078,Summer Hill,15.7495000000
10079,Swansea,139.5040000000
10080,Sydney,10.3269000000
10081,Tamworth,21628.5000000000
10082,Terrigal,114.9580000000
10083,The Entrance,103.2820000000
10084,Tweed,512.4040000000
10085,Upper Hunter,27207.3000000000
10086,Vaucluse,15.5666000000
10087,Wagga Wagga,12419.4000000000
10088,Wakehurst,37.5474000000
10089,Wallsend,120.9650000000
10090,Willoughby,21.8795000000
10091,Wollondilly,4492.2900000000
10092,Wollongong,79.2869000000
10093,Wyong,590.0630000000
19494,No usual address (NSW),0.0000000000
19797,Migratory - Offshore - Shipping (NSW),0.0000000000
20106,Albert Park (Southern Metropolitan),21.4206000000
20207,Altona (Western Metropolitan),70.5523000000
20302,Bass (Eastern Victoria),1389.1600000000
20401,Bayswater (Eastern Metropolitan),39.9799000000
20508,Bellarine (Western Victoria),377.4780000000
20604,Benambra (Northern Victoria),9850.1200000000
20704,Bendigo East (Northern Victoria),2843.1400000000
20804,Bendigo West (Northern Victoria),1612.2400000000
20906,Bentleigh (Southern Metropolitan),21.3806000000
21001,Box Hill (Eastern Metropolitan),25.2170000000
21106,Brighton (Southern Metropolitan),19.0277000000
21203,Broadmeadows (Northern Metropolitan),49.7055000000
21303,Brunswick (Northern Metropolitan),16.0461000000
21401,Bulleen (Eastern Metropolitan),36.1331000000
21503,Bundoora (Northern Metropolitan),30.7092000000
21608,Buninyong (Western Victoria),3383.5200000000
21706,Burwood (Southern Metropolitan),24.6570000000
21805,Carrum (South-Eastern Metropolitan),88.5549000000
21906,Caulfield (Southern Metropolitan),16.7696000000
22005,Clarinda (South-Eastern Metropolitan),42.9286000000
22105,Cranbourne (South-Eastern Metropolitan),77.7529000000
22201,Croydon (Eastern Metropolitan),32.7031000000
22305,Dandenong (South-Eastern Metropolitan),57.6962000000
22404,Eildon (Northern Victoria),10087.8000000000
22501,Eltham (Eastern Metropolitan),50.6394000000
22607,Essendon (Western Metropolitan),22.5663000000
22704,Euroa (Northern Victoria),11677.8000000000
22802,Evelyn (Eastern Victoria),249.9620000000
22901,Ferntree Gully (Eastern Metropolitan),34.3888000000
23007,Footscray (Western Metropolitan),39.6929000000
23101,Forest Hill (Eastern Metropolitan),25.3631000000
23205,Frankston (South-Eastern Metropolitan),39.9733000000
23308,Geelong (Western Victoria),39.2547000000
23402,Gembrook (Eastern Victoria),482.0460000000
23502,Gippsland East (Eastern Victoria),27442.4000000000
23602,Gippsland South (Eastern Victoria),7424.6500000000
23702,Hastings (Eastern Victoria),463.6040000000
23806,Hawthorn (Southern Metropolitan),19.0516000000
23901,Ivanhoe (Eastern Metropolitan),31.8844000000
24006,Kew (Southern Metropolitan),27.6171000000
24105,Keysborough (South-Eastern Metropolitan),47.4773000000
24207,Kororoit (Western Metropolitan),195.9320000000
24308,Lara (Western Victoria),694.1250000000
24408,Lowan (Western Victoria),38239.2000000000
24504,Macedon (Northern Victoria),3189.9000000000
24606,Malvern (Southern Metropolitan),19.2195000000
24703,Melbourne (Northern Metropolitan),27.8708000000
24808,Melton (Western Victoria),231.3850000000
24904,Mildura (Northern Victoria),35657.3000000000
25003,Mill Park (Northern Metropolitan),44.1228000000
25102,Monbulk (Eastern Victoria),253.6520000000
25205,Mordialloc (South-Eastern Metropolitan),37.4037000000
25302,Mornington (Eastern Victoria),155.7990000000
25402,Morwell (Eastern Victoria),1584.5200000000
25501,Mount Waverley (Eastern Metropolitan),25.6957000000
