City of Albany,13
City of Armadale,14
City of Bayswater,11
City of Belmont,9
City of Bunbury,12
City of Busselton,9
City of Canning,11
City of Cockburn,10
City of Fremantle,13
City of Gosnells,12
City of Greater Geraldton,14
City of Joondalup,13
City of Kalgoorlie-Boulder,13
City of Karratha,11
City of Kwinana,8
City of Mandurah,13
City of Melville,13
City of Nedlands,13
City of Perth,9
City of Rockingham,10
City of South Perth,9
City of Stirling,14
City of Subiaco,13
City of Swan,15
City of Vincent,9
City of Wanneroo,15
Shire of Ashburton,9
Shire of Augusta-Margaret River,7
Shire of Beverley,9
Shire of Boddington,7
Shire of Boyup Brook,9
Shire of Bridgetown-Greenbushes,9
Shire of Brookton,6
Shire of Broome,9
Shire of Broomehill-Tambellup,7
Shire of Bruce Rock,9
Shire of Capel,9
Shire of Carnamah,7
Shire of Carnarvon,8
Shire of Chapman Valley,8
Shire of Chittering,6
Shire of Christmas Island,9
Shire of Cocos (Keeling) Islands,7
Shire of Collie,11
Shire of Coolgardie,7
Shire of Coorow,8
Shire of Corrigin,7
Shire of Cranbrook,9
Shire of Cuballing,6
Shire of Cue,6
Shire of Cunderdin,8
Shire of Dalwallinu,9
Shire of Dandaragan,9
Shire of Dardanup,9
Shire of Denmark,9
Shire of Derby-West Kimberley,9
Shire of Donnybrook-Balingup,9
Shire of Dowerin,8
Shire of Dumbleyung,9
Shire of Dundas,6
Shire of East Pilbara,11
Shire of Esperance,9
Shire of Exmouth,6
Shire of Gingin,9
Shire of Gnowangerup,9
Shire of Goomalling,9
Shire of Halls Creek,7
Shire of Harvey,13
Shire of Irwin,8
Shire of Jerramungup,7
Shire of Kalamunda,12
Shire of Katanning,9
Shire of Kellerberrin,7
Shire of Kent,8
Shire of Kojonup,8
Shire of Kondinin,8
Shire of Koorda,7
Shire of Kulin,9
Shire of Lake Grace,9
Shire of Laverton,7
Shire of Leonora,7
Shire of Manjimup,11
Shire of Meekatharra,7
Shire of Menzies,7
Shire of Merredin,9
Shire of Mingenew,7
Shire of Moora,9
Shire of Morawa,7
Shire of Mount Magnet,7
Shire of Mt Marshall,7
Shire of Mukinbudin,9
Shire of Mundaring,12
Shire of Murchison,6
Shire of Murray,9
Shire of Nannup,8
Shire of Narembeen,7
Shire of Narrogin,9
Shire of Ngaanyatjarraku,8
Shire of Northam,10
Shire of Northampton,9
Shire of Nungarin,6
Shire of Peppermint Grove,7
Shire of Perenjori,9
Shire of Pingelly,8
Shire of Plantagenet,9
Shire of Quairading,8
Shire of Ravensthorpe,7
Shire of Sandstone,5
Shire of Serpentine-Jarrahdale,9
Shire of Shark Bay,7
Shire of Tammin,6
Shire of Three Springs,7
Shire of Toodyay,9
Shire of Trayning,7
Shire of Upper Gascoyne,7
Shire of Victoria Plains,9
Shire of Wagin,11
Shire of Wandering,7
Shire of Waroona,8
Shire of West Arthur,7
Shire of Westonia,6
Shire of Wickepin,8
Shire of Williams,9
Shire of Wiluna,7
Shire of Wongan-Ballidu,7
Shire of Woodanilling,6
Shire of Wyalkatchem,7
Shire of Wyndham-East Kimberley,9
Shire of Yalgoo,5
Shire of Yilgarn,7
Shire of York,7
Town of Bassendean,6
Town of Cambridge,9
Town of Claremont,10
Town of Cottesloe,9
Town of East Fremantle,9
Town of Mosman Park,6
Town of Port Hedland,10
Town of Victoria Park,9
